Player,Team,Games,Kicks,Marks,Handballs,Disposals,Goals,Behinds,Hit Outs,Tackles,Rebound 50s,Inside 50s,Clearances,Clangers,Frees For,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists
"Higgins, Shaun",NM,17,222,64,261,483,10,11, ,49,23,82,70,60,15,14,18,147,338, ,5,7,3,15
"Ablett, Gary",GE,24,293,89,189,482,34,18, ,108,21,114,49,90,18,42,13,199,293,10,24,17,6,20
"Salem, Christian",ME,20,334,93,148,482, ,2, ,60,100,33,22,59,15,12, ,145,272,4, ,43,9,4
"Hewett, George",SY,22,190,56,291,481,1, , ,98,27,39,88,58,21,28,2,240,249,3, ,21,1,6
"Walters, Michael",FR,22,303,83,176,479,40,17, ,78,24,86,82,63,50,25,11,211,273,10,24,33,15,10
"Heppell, Dyson",ES,18,230,98,243,473,4,5, ,52,27,67,68,64,22,11,3,211,274,10,6,23,3,8
"Sicily, James",HW,22,352,158,112,464,3,2, ,32,137,28,3,80,28,30,8,142,296,30,2,102,3,3
"Sheppard, Brad",WC,24,324,188,139,463, ,2, ,37,106,28,7,46,17,10,1,90,367,8,1,98,3,2
"McKenna, Conor",ES,22,315,58,145,460,2,1, ,34,107,52,20,48,14,8, ,101,255,4,1,41,79,7
"Vlastuin, Nick",RI,24,273,156,186,459,1,1, ,69,117,31,20,55,25,24,4,158,273,19,1,105,4,2
"Lambert, Kane",RI,21,221,97,234,455,18,6, ,70,25,74,49,55,13,10,4,153,301,3,17,22,4,13
"Maynard, Brayden",CW,24,310,104,144,454,1,3, ,92,97,58,11,63,24,24,1,128,301,7, ,68,2,4
"Jones, Nathan",ME,22,241,83,210,451,8,5, ,53,44,77,46,59,13,17, ,148,305, ,4,25,5,7
"Daniel, Caleb",WB,17,294,67,157,451,1, , ,53,101,36,17,53,15,12,3,109,265,3, ,41,13,2
"Ziebell, Jack",NM,22,282,84,168,450,24,16, ,105,25,97,71,75,32,24,10,199,262,8,22,26,1,12
"Houston, Dan",PA,21,271,90,179,450,6,5, ,65,70,64,51,59,11,22,3,168,258,15,6,72, ,3
"Conca, Reece",FR,22,282,68,165,447,2,3, ,78,59,58,67,74,18,28, ,151,258, ,1,39,6,6
"Greene, Toby",GW,19,283,104,161,444,27,14, ,64,20,88,69,90,24,29,6,193,246,10,19,11,6,13
"Viney, Jack",ME,21,210,68,234,444,4,4, ,110,15,77,90,69,32,25,3,192,252,3,5,22,1,8
"Heeney, Isaac",SY,22,237,126,204,441,26,15,1,85,21,65,52,64,27,20,6,198,254,25,29,30,1,8
"Shiels, Liam",HW,19,249,65,192,441,10,12, ,126,23,67,77,81,13,33,5,159,260,8,5,27,3,9
"Steele, Jack",SK,20,195,80,243,438,3,6, ,164,34,56,84,66,22,30,1,191,256,3,6,36,1,10
"Johannisen, Jason",WB,20,285,83,152,437,6,6, ,44,74,72,10,31,8,5,1,93,291,5,7,17,28,16
"Dahlhaus, Luke",GE,24,171,71,262,433,14,16, ,115,9,48,28,41,25,14, ,182,255,4,21,28,2,15
"Parish, Darcy",ES,21,223,61,210,433,12,9, ,80,24,69,66,42,13,6,2,180,256,1,10,15,5,11
"Savage, Shane",SK,22,288,117,144,432,2,4, ,54,98,51,13,42,9,7, ,97,298,9,1,65,15,3
"Haynes, Nick",GW,23,318,181,114,432,1,3, ,35,106,37,8,48,11,10,5,120,305,32,3,97,14,2
"Atkins, Rory",AD,20,296,115,135,431,6,9, ,31,49,77,29,59,4,16,1,104,327,1,2,21,15,8
"Gresham, Jade",SK,19,257,71,173,430,15,13, ,55,10,91,87,80,15,28,5,190,236,1,12,8,19,15
"Newman, Nic",CA,20,328,135,100,428,6,2, ,66,131,37,11,57,18,14,3,102,264,9,1,56,12,5
"Smith, Isaac",HW,19,273,100,154,427,9,8, ,41,52,93,32,59,3,14, ,93,318,3,7,20,17,12
"Tomlinson, Adam",GW,25,274,155,151,425,4,3,58,64,39,63,52,72,11,23, ,153,279,9,6,53,1,8
"Atley, Shaun",NM,21,222,71,201,423, ,3, ,38,49,47,11,42,11,15, ,114,318,4, ,36,33,7
"Gray, Robbie",PA,19,189,71,232,421,24,14, ,42,11,66,78,61,33,19,10,204,221,9,24,23,7,13
"Witherden, Alex",BL,23,332,127,89,421,2,3, ,38,110,39,15,60,13,17, ,91,255,8,2,47,3, 
"Tucker, Darcy",FR,22,199,73,221,420,10,7, ,81,25,64,50,64,11,21, ,157,272,1,8,24,1,9
"Petrevski-Seton, Sam",CA,22,245,87,175,420,4,4, ,96,41,39,46,63,12,20,2,176,246,4,5,32,1,3
"Rampe, Dane",SY,21,265,123,155,420, ,1, ,60,140,31,4,47,14,23, ,131,247,15, ,106,28,4
"Petracca, Christian",ME,22,212,89,199,411,22,14,5,65,5,80,51,64,16,20, ,208,215,15,23,23, ,16
"Macpherson, Darcy",GC,22,262,91,149,411,12,9, ,134,27,60,43,72,24,25, ,168,250,7,13,24,1,13
"Smith, Bailey",WB,23,184,58,222,406,11,10, ,93,20,64,57,39,9,15, ,163,256, ,2,16,3,15
"Zaharakis, David",ES,20,238,99,168,406,6,2, ,56,38,59,31,45,14,11,3,129,271,1,2,21,5,7
"Mills, Callum",SY,22,231,136,174,405,1, , ,58,80,21,9,50,6,12, ,102,279,16,1,79, ,3
"Florent, Oliver",SY,21,248,78,156,404,6,6, ,43,44,75,58,59,9,20,5,134,261,3,6,16,9,3
"Pittard, Jasper",NM,22,238,131,165,403,1, , ,37,72,27,4,50,14,11, ,91,290,15, ,135,11,4
"Mayne, Chris",CW,21,219,116,183,402,4,2, ,56,37,20,30,35,15,9, ,118,267,5,7,42,2,5
"Miller, Touk",GC,18,183,81,219,402,4,3, ,103,31,48,76,62,18,18,5,193,218,2,1,22,1,6
"Dunstan, Luke",SK,18,208,59,194,402,4,12,1,87,16,73,111,42,26,17,2,207,187, ,4,18,5,7
"Coniglio, Stephen",GW,15,249,63,150,399,15,6, ,59,21,59,74,52,10,10,17,145,248,4,10,10,7,10
"Suckling, Matt",WB,19,296,104,101,397,10,11, ,38,72,54,6,37,10,9, ,84,246,3,8,27,14,7
"Harbrow, Jarrod",GC,21,292,101,105,397, ,1, ,34,80,32,15,57,16,20, ,118,250,12, ,56,8,1
"Martin, Stefan",BL,24,226,60,168,394,5,7,646,59,25,55,118,76,49,33, ,253,132,17,8,59, ,11
"Duursma, Xavier",PA,20,204,114,188,392,11,13, ,41,25,47,36,46,24,12, ,130,256,4,16,20,5,7
"Berry, Jarrod",BL,20,211,89,181,392,8,10, ,76,24,72,58,53,37,17,1,163,241,3,9,27,4,13
"Simpkin, Jy",NM,21,200,49,190,390,6,8, ,75,21,71,76,58,15,28,1,180,212,2,11,23,2,11
